imdbId,Actors,Directors,Rating,Genre,Release
114709,"['Tom Hanks', 'Tim Allen', 'Don Rickles']",['John Lasseter'],8.3/10,"['Animation', 'Adventure', 'Comedy']","22 November 1995 (USA)

"
113497,"['Robin Williams', 'Kirsten Dunst', 'Bonnie Hunt']",['Joe Johnston'],6.9/10,"['Action', 'Adventure', 'Family']","15 December 1995 (USA)

"
113228,"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']",['Howard Deutch'],6.6/10,"['Comedy', 'Romance']","22 December 1995 (USA)

"
114885,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine']",['Forest Whitaker'],5.7/10,"['Comedy', 'Drama', 'Romance']","22 December 1995 (USA)

"
113041,"['Steve Martin', 'Diane Keaton', 'Martin Short']",['Charles Shyer'],5.9/10,"['Comedy', 'Family', 'Romance']","8 December 1995 (USA)

"
113277,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']",['Michael Mann'],8.2/10,"['Action', 'Crime', 'Drama']","15 December 1995 (USA)

"
114319,"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']",['Sydney Pollack'],6.3/10,"['Comedy', 'Drama']","15 December 1995 (USA)

"
112302,"['Jonathan Taylor Thomas', 'Brad Renfro', 'Charles Rocket']",['Peter Hewitt'],5.6/10,"['Adventure', 'Comedy', 'Drama']","22 December 1995 (USA)

"
114576,"['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry']",['Peter Hyams'],5.7/10,"['Action', 'Crime', 'Thriller']","22 December 1995 (USA)

"
113189,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']",['Martin Campbell'],7.2/10,"['Action', 'Adventure', 'Thriller']","17 November 1995 (USA)

"
112346,"['Michael Douglas', 'Annette Bening', 'Martin Sheen']",['Rob Reiner'],6.8/10,"['Comedy', 'Drama', 'Romance']","17 November 1995 (USA)

"
112896,"['Leslie Nielsen', 'Mel Brooks', 'Peter MacNicol']",['Mel Brooks'],5.8/10,"['Comedy', 'Fantasy', 'Horror']","22 December 1995 (USA)

"
112453,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']",['Simon Wells'],7.1/10,"['Animation', 'Adventure', 'Drama']","22 December 1995 (USA)

"
113987,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']",['Oliver Stone'],7.1/10,"['Biography', 'Drama', 'History']","5 January 1996 (USA)

"
112760,"['Geena Davis', 'Matthew Modine', 'Frank Langella']",['Renny Harlin'],5.6/10,"['Action', 'Adventure', 'Comedy']","22 December 1995 (USA)

"
112641,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",['Martin Scorsese'],8.2/10,"['Crime', 'Drama']","22 November 1995 (USA)

"
114388,"['Emma Thompson', 'Kate Winslet', 'James Fleet']",['Ang Lee'],7.7/10,"['Drama', 'Romance']","26 January 1996 (USA)

"
113101,"['Tim Roth', 'Antonio Banderas', 'Sammi Davis']","['Allison Anders', 'Alexandre Rockwell']",6.7/10,['Comedy'],"25 December 1995 (USA)

"
112281,"['Jim Carrey', 'Ian McNeice', 'Simon Callow']",['Steve Oedekerk'],6.3/10,"['Adventure', 'Comedy', 'Crime']","10 November 1995 (USA)

"
113845,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']",['Joseph Ruben'],5.6/10,"['Action', 'Comedy', 'Crime']","22 November 1995 (USA)

"
113161,"['Gene Hackman', 'Rene Russo', 'Danny DeVito']",['Barry Sonnenfeld'],6.9/10,"['Comedy', 'Crime', 'Thriller']","20 October 1995 (USA)

"
112722,"['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney']",['Jon Amiel'],6.6/10,"['Drama', 'Mystery', 'Thriller']","27 October 1995 (USA)

"
112401,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']",['Richard Donner'],6.3/10,"['Action', 'Crime', 'Thriller']","6 October 1995 (USA)

"
114168,"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']",['Victor Salva'],6.6/10,"['Drama', 'Fantasy', 'Mystery']","27 October 1995 (USA)

"
113627,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']",['Mike Figgis'],7.6/10,"['Drama', 'Romance']","9 February 1996 (USA)

"
114057,"['Laurence Fishburne', 'Kenneth Branagh', 'Irène Jacob']",['Oliver Parker'],6.9/10,"['Drama', 'Romance']","19 January 1996 (USA)

"
114011,"['Christina Ricci', 'Demi Moore', ""Rosie O'Donnell""]",['Lesli Linka Glatter'],6.8/10,"['Comedy', 'Drama', 'Romance']","20 October 1995 (USA)

"
114117,"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood']",['Roger Michell'],7.7/10,['Drama'],"Episode aired 16 April 1995

"
112682,"['Ron Perlman', 'Daniel Emilfork', 'Judith Vittet']","['Marc Caro', 'Jean-Pierre Jeunet']",7.6/10,"['Fantasy', 'Sci-Fi']","15 December 1995 (USA)

"
115012,"['Li Gong', 'Baotian Li', 'Xiaoxiao Wang']",['Yimou Zhang'],7.2/10,"['Crime', 'Drama', 'Romance']","22 December 1995 (USA)

"
112792,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance']",['John N. Smith'],6.4/10,"['Biography', 'Drama']","11 August 1995 (USA)

"
114746,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']",['Terry Gilliam'],8/10,"['Mystery', 'Sci-Fi', 'Thriller']","5 January 1996 (USA)

"
112431,"['James Cromwell', 'Magda Szubanski', 'Christine Cavanaugh']",['Chris Noonan'],6.8/10,"['Comedy', 'Drama', 'Family']","4 August 1995 (USA)

"
112637,"['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington']",['Christopher Hampton'],6.9/10,"['Biography', 'Drama', 'Romance']","10 November 1995 (USA)

"
112818,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky']",['Tim Robbins'],7.6/10,"['Crime', 'Drama']","2 February 1996 (USA)

"
112286,"['Peter Reznick', 'John McDonough', 'Avi Hoffman']",['Stephen Low'],6.4/10,"['Adventure', 'Drama', 'Family']","20 October 1995 (USA)

"
113442,"['Kirstie Alley', 'Steve Guttenberg', 'Mary-Kate Olsen']",['Andy Tennant'],5.8/10,"['Comedy', 'Family', 'Romance']","17 November 1995 (USA)

"
112697,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']",['Amy Heckerling'],6.8/10,"['Comedy', 'Romance']","19 July 1995 (USA)

"
112749,"['Richard Harris', 'James Earl Jones', 'Vusi Kunene']",['Darrell Roodt'],6.9/10,"['Drama', 'Thriller']","15 December 1995 (USA)

"
114279,"['Ian McKellen', 'Annette Bening', 'Christopher Bowen']",['Richard Loncraine'],7.5/10,"['Drama', 'Sci-Fi', 'War']","29 December 1995 (USA)

"
112819,"['Larenz Tate', 'Keith David', 'Chris Tucker']","['Albert Hughes', 'Allen Hughes']",6.9/10,"['Action', 'Crime', 'Drama']","6 October 1995 (USA)

"
114272,"['Robert Downey Jr.', 'Sam Neill', 'David Thewlis']",['Michael Hoffman'],6.7/10,"['Biography', 'Drama', 'History']","2 February 1996 (USA)

"
113855,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby']",['Paul W.S. Anderson'],5.8/10,"['Action', 'Adventure', 'Fantasy']","18 August 1995 (USA)

"
114681,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']",['Gus Van Sant'],6.8/10,"['Comedy', 'Crime', 'Drama']","6 October 1995 (USA)

"
